id_obra,contratada,data_fim_previsto,data_inicio,descricao,municipio,percentual_executado,status,valor,
7244,PODIUM,"Thu, 28 Sep 2017","Fri, 24 Apr 2015",OBRA 1ª ETAPA DA URBANIZAÇÃO DO COMPLEXO POLIESPORTIVO CAMPUS ITAPERI E URBANIZAÇÃO DO HOSPITAL VETERINÁRIO DA UECE EM FORTALEZA-CE,FORTALEZA,89.86,Em Execução,2275667.44,
6158,FIEZA PROJETOS,"Sat, 31 Jan 2009","Thu, 04 Sep 2008",REFORMA E AMPLIAÇÃO DA UNIDADE DE INTERNAÇÃO PROVISÓRIA REGIONALIZADA DE J. DO NORTE,FORTALEZA,5.79,Em Execução,418726.84,
7494,FA MAGALHÃES,"Fri, 05 Jan 2018","Thu, 01 Sep 2016","CONSTRUÇÃO DE QUADRA COBERTA COM VESTIÁRIO (25,80X38M), NA EEFM MANUEL FERREIRA DA SILVA - EUSÉBIO - CE",EUSÉBIO,80.02,Em Execução,465761.84,
7153,SOUZA & FREITAS EDIFICAÇÕES LTDA,"Fri, 05 Feb 2016","Wed, 24 Sep 2014","CONSTRUÇÃO DE QUADRA POLIESPORTIVA COBERTA COM VESTIÁRIO (25,80X38), NA EEEP DOM WALFRIDO TEIXEIRA VIEIRA, NO MUNICÍPIO DE SOBRAL - CE",SOBRAL,100.00,Concluída,501039.28,
5836,HM ENGENHARIA E SERVIÇOS LTDA,"Fri, 22 Jun 2012","Fri, 02 Oct 2009",CONSTRUÇÃO DE 07 ESCOLAS ESTADUAIS PROFISSIONALIZANTES COM 12 SALAS PADRÕES.,IPU,100.00,Concluída,1921625.55,
6355,CONSTRUTORA BORGES  CARNEIRO LTDA,"Sun, 21 Apr 2013","Wed, 01 Feb 2012",REQUALIFICAÇÃO URBANA DA ÁREA CENTRAL DE FARIA BRITO - QUIOSQUE COM TRES BALCÕES,FARIAS BRITO,0,Concluída,0.00,
7748,ATHOS CONSTRUÇÕES,"Mon, 09 Apr 2018","Mon, 11 Dec 2017",EXECUÇÃO DA CONSTRUÇÃO DO CENTRO DE ESPORTE PARA FUTEBOL – ARENINHA NO MUNICÍPIO DE RUSSAS - CE,RUSSAS,14.64,Em Execução,1533699.60,
4718,SANTA TEREZA ENGENHARIA,"Fri, 02 Dec 2011","Wed, 31 Mar 2010",RECUPERAÇÃO E REFORMA DA CADEIA PÚBLICA DO MUNICIPIO DE CAPISTRANO -CE,CAPISTRANO,56.97,Concluída,39283.47,
7145,MPI,"Wed, 26 Aug 2015","Mon, 01 Sep 2014","OBRAS DE ACRÉSCIMO DE CARGA NA SUBESTAÇÃO ABRIGADA, TRANSFERÊNCIA DE CARGAS ENTRE QUADROS E ESTRUTURAS METÁLICA PARA LEITOS PESADOS DO HOSPITAL GERAL DE FORTALEZA-CE.",FORTALEZA,91.36,Paralisada,975532.10,
7247,ENGEXATA ENGENHARIA LTDA,"Fri, 01 Jul 2016","Fri, 09 Jan 2015","CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DOS SERVIÇOS DE URBANIZAÇÃO E SISTEMA VIÁRIO NAS MARGENS DO RIO MARANGUAPINHO, TRECHO IV",MARACANAÚ,0.00,Em Execução,1769524.67,
4776,CG CONSTRUÇÕES,"Wed, 27 Nov 2013","Wed, 09 Jun 2010",CENTRO DE TREINAMENTO TECNICO DO CEARA EM SÃO GONSALO DO AMARANTE,SÃO GONÇALO DO AMARANTE,99.95,Concluída,16988204.87,
7009,RCN - REDE DE CONSTRUÇÃO DO NORDESTE,"Wed, 07 Mar 2018","Fri, 06 Jun 2014",OBRAS DE CONSTRUÇÃO DE ESCOLA PROFISSIONALIZANTE NO MUNICÍPIO DE ALTO SANTO - CE,ALTO SANTO,49.81,Em Execução,6533370.26,
2415,CONSTRUTORA CAMPOS OLIVEIRA,"Thu, 04 Oct 2012","Mon, 02 Aug 2010",REFORMA DO CENTRO COMUNITARIO MIRIAM PORTO MOTA PARA INSTALAÇÃO DO CENTRO PROFISSIONALIZANTE PARA PESSOAS COM DEFICIENCIA EM FORTALEZA-CE,FORTALEZA,100.00,Concluída,3996527.46,
6235,AMPLA ENGENHARIA,"Wed, 05 May 2010","Mon, 07 Dec 2009","CONSTRUÇÃO DA RESIDÊNCIA UNIVERSITÁRIA, NA UNIVERSIDADE REGIONAL DO CARIRI-URCA",CARIRIAÇU,100.00,Concluída,577964.46,
6122,J T CONSTRUÇÃO E CONSULTORIA LTDA,"Thu, 10 Sep 2009","Mon, 15 Dec 2008",CONSTRUÇÃO DO PRÉDIO DE APOIO A ESCOLA DE APRENDIZES MARINHEIROS DO CEARÁ,FORTALEZA,97.85,Concluída,1050691.73,
7575,SALINAS,"Wed, 27 Dec 2017","Tue, 02 May 2017","AMPLIAÇÃO DO CAMPUS CRAJUBAR - CONSTRUÇÃO DE RESTAURANTE UNIVERSITÁRIO, SALAS E LABORATÓRIOS EM JUAZEIRO DO NORTE-CE",JUAZEIRO DO NORTE,34.22,Em Execução,1261826.75,
6992,CETRO,"Sun, 02 Oct 2016","Wed, 21 May 2014",OBRA DE CONSTRUÇÃO DA ÁREA DE EXAMES DO DETRAN NO MUNICIPIO DE BATURITÉ - CE,BATURITÉ,100.00,Concluída,2075965.22,
7659,SM,"Wed, 16 Aug 2017","Mon, 07 Aug 2017","SERVIÇO DE ASSENTAMENTO DE PISO EMBORRACHADO, ANTI-IMPACTO E DRENANTE, COM FORNECIMENTO DE MATERIAL, PARA AS OBRAS DO PROGRAMA MAIS INFÂNCIA CEARÁ, NO MUNICÍPIO DE REDENÇÃO",REDENÇÃO,100.00,Em Execução,32989.81,
7612,SM,"Sat, 29 Jul 2017","Thu, 20 Jul 2017","SERVIÇO DE ASSENTAMENTO DE PISO EMBORRACHADO, ANTI-IMPACTO E DRENANTE, COM FORNECIMENTO DE MATERIAL, PARA AS OBRAS DO PROGRAMA MAIS INFÂNCIA CEARÁ, NO MUNICÍPIO DE IRAUÇUBA",IRAUÇUBA,100.00,Concluída,34163.83,
6673,JADE INDÚSTRIA COMÉRCIO E CONSTRUÇÃO LTDA,"Sun, 15 Dec 2013","Mon, 21 Jan 2013","CONSTRUÇÃO DA QUADRA COBERTA COM VESTIÁRIO NA EEFM PROFESSORA DIVA CABRAL, NO MUNICIPIO DE FORTALEZA-CE",FORTALEZA,100.00,Concluída,488240.39,
6967,DUPLO  M,"Fri, 04 Aug 2017","Wed, 23 Apr 2014",CONSTRUÇÃO DE UMA ESCOLA DE ENSINO MÉDIO NO MUNICÍPIO DE IGUATU ( JOSÉ DE ALENCAR ) - CE,IGUATU,99.65,Em Execução,1450161.48,
6254,ENGEA,"Thu, 13 May 2010","Tue, 19 May 2009","CONSTRUÇÃO DA SEDE DA DELEGACIA DE DIVISÃO DE HOMICÍDIOA, EM FORTALEZA-CE",FORTALEZA,99.84,Concluída,5768745.91,
6252,STRUCTURA ENGENHARIA.,"Fri, 09 Nov 2012","Tue, 21 Jul 2009",REFORMA COM AMPLIAÇÃO DO SETOR DE REGISTRO DO DETRAN/CE-SEDE,,321016,DETRAN,Obra,1578560.28
7501,TORRES MARTINS,"Sun, 04 Feb 2018","Thu, 01 Sep 2016","CONSTRUÇÃO DE QUADRA COBERTA COM VESTIÁRIOS, NA EEFM JOSÉ MILTON DE VASCONCELOS NO MUNICÍPIO DE MARACANAÚ-CE",MARACANAÚ,0.00,Em Execução,323681.72,
6963,FORTEKS ENGENHARIA,"Fri, 11 Nov 2016","Tue, 22 Apr 2014","CONSTRUÇÃO DE ESCOLA DE ENSINO MÉDIO EM ÁREA URBANA NO MUNICÍPIO DE GENERAL SAMPAIO/SEDE, NO ESTADO DO CEARÁ",GENERAL SAMPAIO,98.11,Em Execução,1559401.86,
6880,CONSORCIO MORAIS & SOL CONSTRUÇÕES,"Sat, 12 Mar 2016","Tue, 23 Jul 2013",CONSTRUÇÃO DE ESCOLA DE ENSINO MÉDIO NA ÁREA RURAL DE EUSEBIO (JABUTI) NO ESTADO DO CEARÁ,EUSÉBIO,100.00,Concluída,2084757.82,
6986,DG LOG,"Tue, 28 Jun 2016","Wed, 21 May 2014","CONSTRUÇÃO DE ESCOLAS DE ENSINO MÉDIO, NO MUNICÍPIO DE ACOPIARA-CE (ASSENTAMENTO SÃO PAULINO)",ACOPIARA,26.91,Cancelada,1302089.25,
5933,CONSTRUMAIA,"Tue, 22 Dec 2009","Thu, 24 Sep 2009",REFORMA E RECUPERAÇÃO DA CADEIA PÚBLICA DO MUNICÍPIO DE MORADA NOVA-CE,MORADA NOVA,99.70,Em Execução,152962.61,
6958,MONTE HOREBE,"Sat, 28 Mar 2015","Thu, 03 Apr 2014","EXECUÇÃO DO SERVIÇO DE MANUTENÇÃO COM SUBSTITUIÇÃO DE GRADIL NO PARQUE DO COCÓ, NAS LOCALIDADES A SEGUIR DESCRITAS: AV. ENG. SANTANA JUNIOR, AV MURILO BORGES, AV SEBASTIAO ABREU, RUA MANGUESAIS E AV. RAUL BARBOSA",FORTALEZA,22.71,Concluída,571276.74,
6213,IGC EMPREENDIMENTO IMOBILIARIO,"Thu, 29 Oct 2009","Thu, 02 Jul 2009","REFORMA DO PRÉDIO DA CORREDORIA GERAL DOS ORGÃOS DE SEGURANÇA PÚBLICA E DEFESA SOCIAL, EM FORTALEZA.",FORTALEZA,100.00,Concluída,1559529.50,
4577,NOVO HORIZONTE CONTAINERS,"Sun, 10 Jul 2016","Mon, 19 Jul 2010",SER V - AQUISIÇÃO DE MÓDULOS PARA IMPLANTAÇÃO DE UNIDADES DE PRONTO ATENDIMENTO DE SAÚDE - UPA,FORTALEZA,100.00,Concluída,3542500.00,
6810,IC PROJETOS,"Tue, 15 Apr 2014","Tue, 21 May 2013","CONSTRUÇÕES DE BANHEIROS, VESTIÁRIOS, GALPÕES E CAIXA D'ÁGUA NAS EEMR NA ÁREA RURAL NO MUNICÍPIO DE JAGUARETAMA - CE",JAGUARETAMA,100.00,Concluída,167538.05,
4849,EPOCA ENGENHARIA,"Sun, 12 Feb 2012","Fri, 02 Oct 2009",CONSTRUÇÃO DE 07 ESCOLAS ESTADUAIS PROFISSIONALIZANTES COM 12 SALAS PADRÕES,TIANGUÁ,54.15,Concluída,2210114.42,
7337,CONSTRUTORA CONCRETO,"Sat, 03 Feb 2018","Mon, 21 Nov 2016","CONCLUSÃO DA CONSTRUÇÃO DE UMA CADEIA PÚBLICA COM CAPACIDADE PARA 153 DETENTOS, NO MUNICÍPIO DE TIANGUÁ.",TIANGUÁ,47.55,Paralisada,4555164.99,
7564,SM,"Thu, 19 Oct 2017","Tue, 10 Oct 2017","SERVIÇO DE MONTAGEM DE SISTEMA DE FECHAMENTO PARA ESPAÇOS ABERTOS DO TIPO GRADIL PARA AS OBRAS PARA O PROGRAMA MAIS INFÂNCIA CEARÁ, MODALIDADE BRINQUEDOPRAÇA, NO MUNICIPIO DE MOMBAÇA/CE",MOMBAÇA,100.00,Em Execução,8415.90,
2442,CONSTJEL,"Mon, 27 Jun 2011","Wed, 08 Sep 2010",OBRAS DE REFORMA DA CADEIA PÚBLICA DO MUNICIPIO DE MULUNGU - CE,MULUNGU,100.00,Concluída,83322.78,
7007,FORTEKS ENGENHARIA,"Mon, 26 Dec 2016","Wed, 11 Jun 2014","CONSTRUÇÃO DE UMA ESCOLA DE ENSINO MÉDIO, NO MUNICÍPIO FORTALEZA (BOM JARDIM), NO ESTADO DO CEARÁ",FORTALEZA,100.00,Concluída,2541093.00,
5747,TECNOCON,"Sat, 10 Oct 2009","Tue, 14 Apr 2009","CONSTRUÇÃO DE DE UMA ESCOLA RURAL PADRÃO COM 12 SALAS, EM SOBRAL - LOTE VII",SOBRAL,100.00,Concluída,225930.29,
6755,CONCRETA ENGENHARIA LTDA,"Tue, 22 Jul 2014","Mon, 15 Apr 2013",CONCLUSÃO E OBRAS COMPLEMENTARES DE UMA ESCOLA DE ENSINO MÉDIO REGULAR NO MUNICÍPIO DE ACOPIARA (UMARI) - CE,UMARI,100.00,Concluída,319163.80,
